"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3149","User navigates from login to checkout and verifies product functionalities","chromium","Thu Oct 30 19:04:07 PKT 2025","passed","Thu Oct 30 19:04:11 PKT 2025","E2E Flow — Products Page Functional Scenarios","productsPage\productsFlow.spec.ts","",""
"","0","Verify cart contains the added product","firefox","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1760","Username is case-sensitive error","firefox","Thu Oct 30 19:04:26 PKT 2025","passed","Thu Oct 30 19:04:27 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1634","Show error for too short password","webkit","Thu Oct 30 19:04:42 PKT 2025","passed","Thu Oct 30 19:04:43 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","0","Verify Add to Cart updates cart badge","webkit","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","2855","Login successfully with valid credentials","webkit","Thu Oct 30 19:04:35 PKT 2025","passed","Thu Oct 30 19:04:38 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1402","Show error for whitespace-only credentials","webkit","Thu Oct 30 19:04:45 PKT 2025","passed","Thu Oct 30 19:04:47 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1750","Show error for too short password","firefox","Thu Oct 30 19:04:20 PKT 2025","passed","Thu Oct 30 19:04:22 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1289","Show error for empty username","chromium","Fri Oct 31 17:35:41 PKT 2025","passed","Fri Oct 31 17:35:43 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1143","Username is case-sensitive error","chromium","Fri Oct 31 17:35:48 PKT 2025","passed","Fri Oct 31 17:35:49 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","0","Clicking product name or image opens correct detail page","webkit","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1671","Verify all products have complete data","chromium","Fri Oct 31 17:35:50 PKT 2025","passed","Fri Oct 31 17:35:52 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","0","Error message disappears after clicking close icon","firefox","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","0","Verify product can be removed from cart","webkit","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1","Verify Add to Cart updates cart badge","firefox","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","0","Verify all products have complete data","firefox","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","0","Verify all products have complete data","webkit","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1564","Clicking product name or image opens correct detail page","chromium","Fri Oct 31 17:35:58 PKT 2025","passed","Fri Oct 31 17:36:00 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1580","Verify checkout page opens correctly","chromium","Fri Oct 31 17:35:55 PKT 2025","passed","Fri Oct 31 17:35:57 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","0","Verify checkout page opens correctly","webkit","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1716","Show error for invalid credentials","webkit","Thu Oct 30 19:04:40 PKT 2025","passed","Thu Oct 30 19:04:42 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1518","Verify cart contains the added product","chromium","Fri Oct 31 17:35:53 PKT 2025","passed","Fri Oct 31 17:35:55 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1338","Username is case-sensitive error","webkit","Thu Oct 30 19:04:47 PKT 2025","passed","Thu Oct 30 19:04:48 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","3936","User navigates from login to checkout and verifies product functionalities","firefox","Thu Oct 30 19:04:29 PKT 2025","passed","Thu Oct 30 19:04:33 PKT 2025","E2E Flow — Products Page Functional Scenarios","productsPage\productsFlow.spec.ts","",""
"","0","Verify product can be removed from cart","firefox","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1627","Verify product can be removed from cart","chromium","Fri Oct 31 17:35:57 PKT 2025","passed","Fri Oct 31 17:35:58 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1644","Show error for whitespace-only credentials","firefox","Thu Oct 30 19:04:24 PKT 2025","passed","Thu Oct 30 19:04:26 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","5777","User navigates from login to checkout and verifies product functionalities","webkit","Thu Oct 30 19:04:50 PKT 2025","passed","Thu Oct 30 19:04:55 PKT 2025","E2E Flow — Products Page Functional Scenarios","productsPage\productsFlow.spec.ts","",""
"","1","Verify cart contains the added product","webkit","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1223","Show error for locked out user","chromium","Fri Oct 31 17:35:45 PKT 2025","passed","Fri Oct 31 17:35:47 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1561","Verify Add to Cart updates cart badge","chromium","Fri Oct 31 17:35:52 PKT 2025","passed","Fri Oct 31 17:35:53 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1207","Show error for too short password","chromium","Fri Oct 31 17:35:44 PKT 2025","passed","Fri Oct 31 17:35:45 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1776","Show error for locked out user","webkit","Thu Oct 30 19:04:43 PKT 2025","passed","Thu Oct 30 19:04:45 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","2031","Show error for locked out user","firefox","Thu Oct 30 19:04:22 PKT 2025","passed","Thu Oct 30 19:04:24 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1519","Login successfully with valid credentials","chromium","Fri Oct 31 17:35:40 PKT 2025","passed","Fri Oct 31 17:35:41 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1154","Error message disappears after clicking close icon","chromium","Fri Oct 31 17:35:49 PKT 2025","passed","Fri Oct 31 17:35:50 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","3804","Login successfully with valid credentials","firefox","Thu Oct 30 19:04:12 PKT 2025","passed","Thu Oct 30 19:04:16 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1550","Show error for empty username","webkit","Thu Oct 30 19:04:38 PKT 2025","passed","Thu Oct 30 19:04:40 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1270","Show error for invalid credentials","chromium","Fri Oct 31 17:35:43 PKT 2025","passed","Fri Oct 31 17:35:44 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","0","Verify checkout page opens correctly","firefox","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","1124","Show error for whitespace-only credentials","chromium","Fri Oct 31 17:35:47 PKT 2025","passed","Fri Oct 31 17:35:48 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1","Clicking product name or image opens correct detail page","firefox","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Products Page Functional Tests","productsPage\productsFlow.spec.ts","",""
"","0","Error message disappears after clicking close icon","webkit","Thu Oct 30 21:00:56 PKT 2025","skipped","Thu Oct 30 21:00:56 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1753","Show error for invalid credentials","firefox","Thu Oct 30 19:04:18 PKT 2025","passed","Thu Oct 30 19:04:20 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
"","1728","Show error for empty username","firefox","Thu Oct 30 19:04:17 PKT 2025","passed","Thu Oct 30 19:04:18 PKT 2025","Login Page Functional Tests","loginPage\loginTests.spec.ts","",""
